it seems that it is not proper to scale with a constant
----
For checking:	1.7491950156234212E-5
For checking:	6.46641859321453E-9
For checking:	1.7491950156234212E-5
For checking:	1.7491950156234212E-5
For checking:	1.7491950156234212E-5

For checking:	0.019731433790464124

For checking:	1.3259294817252621E-5
For checking:	1.0379685397027617E-11
For checking:	1.3177422789712517E-8
For checking:	1.3259294817252621E-5
For checking:	1.3259294817252621E-5
For checking:	1.3665768511546358E-5
For checking:	2.58679337121648E-5
For checking:	3.6079264357726687E-12
For checking:	1.5187752965079347E-8
For checking:	2.58679337121648E-5
For checking:	9.425418676021908E-9
For checking:	1.6310968225334364E-8
For checking:	2.111801226474286E-5
For checking:	1.7943274266987622E-7
For checking:	7.716921976730084E-8
For checking:	5.23360783562604E-12
For checking:	2.5387269187979826E-8

For checking:	0.011943039774375129

For checking:	9.605154255007807E-6
For checking:	9.605154255007807E-6
For checking:	9.605154255007807E-6
For checking:	9.605154255007807E-6
For checking:	9.605154255007807E-6
For checking:	0.00973258670990501
For checking:	4.0233387740215456E-5
For checking:	2.4805973817217546E-11
For checking:	1.751167605723631E-11
For checking:	2.418772434487498E-12
For checking:	1.7835770182319836E-7
For checking:	2.3322605164481267E-11
For checking:	2.155891805141282E-5
For checking:	2.155891805141282E-5
For checking:	7.527217121047747E-8
For checking:	8.285562612607033E-12
For checking:	2.155891805141282E-5
For checking:	0.007718462637704944
For checking:	1.3795445924127267E-5
For checking:	1.0459630605576831E-11
For checking:	8.015514557004629E-9
For checking:	2.9967655254989368E-15
For checking:	3.0465358075193162E-9
For checking:	9.09592650833963E-16
For checking:	1.4476784342111526E-5
For checking:	1.4476784342111526E-5
For checking:	1.4476784342111526E-5
For checking:	1.4476784342111526E-5
For checking:	1.4476784342111526E-5
For checking:	3.6950645021271733E-6
For checking:	4.692646591085815E-5
For checking:	2.5972785330977243E-10
For checking:	4.849184637469657E-8
For checking:	4.692646591085815E-5
For checking:	2.1681744190528332E-8
For checking:	3.700955273579904E-9
For checking:	6.835440842328313E-6
For checking:	2.571619214251287E-9
For checking:	6.835440842328313E-6
For checking:	3.62685659475387E-13
For checking:	6.835440842328313E-6
For checking:	6.71954610557576E-10
For checking:	1.0780486548635486E-5
For checking:	3.362571200964248E-11
For checking:	1.064875766362788E-8
For checking:	1.0780486548635486E-5
For checking:	1.0780486548635486E-5
----
